column,dtype,n_total,n_missing,pct_missing,n_infinite,n_unique,is_constant,cardinality_unique_values,cardinality_is_high_cardinality,cardinality_cardinality_level,cardinality_warning,n_zeros,pct_zeros,mean,median,std,mad,min,max,range,q1,q3,iqr,skewness,kurtosis,outliers_iqr_method,outliers_iqr_multiplier,outliers_iqr_lower_bound,outliers_iqr_upper_bound,outliers_iqr_n_outliers,outliers_iqr_pct_outliers,outliers_zscore_method,outliers_zscore_threshold,outliers_zscore_n_outliers,outliers_zscore_pct_outliers,normality_test_test,normality_test_statistic,normality_test_p_value,normality_test_is_normal,normality_test_interpretation,statistical_advisor_is_numeric,correlations_with_target_recommended,categorical_stats_entropy,categorical_stats_cramers_v,categorical_stats_cramers_v_interpretation
PatientId,float64,110527,0,0.0,0,62299,False,62299,True,HIGH,⚠️ HIGH CARDINALITY: 62299 unique values - may cause performance issues,0.0,0.0,147496265710394.06,31731838713978.0,256094920291738.88,31012507151001.0,39217.84439,999981631772427.0,999981631733209.1,4172614444192.0,94391720898175.0,90219106453983.0,1.9677293178088489,2.5828590041665893,IQR,1.5,-131156045236782.5,229720380579149.5,21588.0,19.53187908836755,Z-score,3.0,2569.0,2.3243189446922474,D'Agostino-Pearson,38681.18258704119,0.0,False,Non-normal distribution,True,spearman,,,
AppointmentID,int64,110527,0,0.0,0,110527,False,110527,True,HIGH,⚠️ HIGH CARDINALITY: 110527 unique values - may cause performance issues,0.0,0.0,5675305.123426855,5680573.0,71295.75153966916,42149.0,5030230.0,5790484.0,760254.0,5640285.5,5725523.5,85238.0,-1.2355875713497477,3.7437589919747016,IQR,1.5,5512428.5,5853380.5,2946.0,2.6654120712586065,Z-score,3.0,1667.0,1.5082287585838754,D'Agostino-Pearson,27284.65722571931,0.0,False,Non-normal distribution,True,spearman,,,
Gender,object,110527,0,0.0,0,2,False,2,False,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9340886583022923,0.00409500768110257,Very weak association
ScheduledDay,object,110527,0,0.0,0,103549,False,103549,True,HIGH,⚠️ HIGH CARDINALITY: 103549 unique values - may cause performance issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.61042102617589,0.9771208252207834,Strong association
AppointmentDay,object,110527,0,0.0,0,27,False,27,False,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.699595369857652,0.04387323880143771,Very weak association
Age,int64,110527,0,0.0,0,104,False,104,False,LOW,,3539.0,3.201932559465108,37.08887421173107,37.0,23.110204963681948,19.0,-1.0,115.0,116.0,18.0,55.0,37.0,0.12165801789597985,-0.952267394656098,IQR,1.5,-37.5,110.5,5.0,0.004523781519447737,Z-score,3.0,5.0,0.004523781519447737,D'Agostino-Pearson,20041.916863873153,0.0,False,Non-normal distribution,True,spearman,,,
Neighbourhood,object,110527,0,0.0,0,81,False,81,False,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.715893401548353,0.06671392965385306,Very weak association
Scholarship,int64,110527,0,0.0,0,2,False,2,False,LOW,,99666.0,90.17344178345562,0.09826558216544373,0.0,0.29767475410942307,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.6991989199965536,5.285770456065958,IQR,1.5,0.0,0.0,10861.0,9.826558216544374,Z-score,3.0,10861.0,9.826558216544374,D'Agostino-Pearson,57481.65172934715,0.0,False,Non-normal distribution,True,spearman,,,
Hipertension,int64,110527,0,0.0,0,2,False,2,False,LOW,,88726.0,80.27540781890397,0.1972459218109602,0.0,0.39792134994753325,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.5217055164376079,0.315593389131378,IQR,1.5,0.0,0.0,21801.0,19.72459218109602,Z-score,3.0,0.0,0.0,D'Agostino-Pearson,23769.47201831452,0.0,False,Non-normal distribution,True,spearman,,,
Diabetes,int64,110527,0,0.0,0,2,False,2,False,LOW,,102584.0,92.81352067820534,0.07186479321794674,0.0,0.2582650735076741,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.315531196442698,8.992909842094743,IQR,1.5,0.0,0.0,7943.0,7.186479321794674,Z-score,3.0,7943.0,7.186479321794674,D'Agostino-Pearson,72687.4647491904,0.0,False,Non-normal distribution,True,spearman,,,
Alcoholism,int64,110527,0,0.0,0,2,False,2,False,LOW,,107167.0,96.96001881893113,0.030399811810688793,0.0,0.17168555541436223,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.470567220225502,27.927611064321678,IQR,1.5,0.0,0.0,3360.0,3.039981181068879,Z-score,3.0,3360.0,3.039981181068879,D'Agostino-Pearson,113557.6574933793,0.0,False,Non-normal distribution,True,spearman,,,
Handcap,int64,110527,0,0.0,0,5,False,5,False,LOW,,108286.0,97.97244112298353,0.022247957512643968,0.0,0.1615427258143932,0.0,0.0,4.0,4.0,0.0,0.0,0.0,8.274398600761113,82.55571691298272,IQR,1.5,0.0,0.0,2241.0,2.0275588770164754,Z-score,3.0,2241.0,2.0275588770164754,D'Agostino-Pearson,152721.8221403442,0.0,False,Non-normal distribution,True,spearman,,,
SMS_received,int64,110527,0,0.0,0,2,False,2,False,LOW,,75045.0,67.89743682539108,0.32102563174608917,0.0,0.46687273170178245,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7667083327991944,-1.4121838863891898,IQR,1.5,-1.5,2.5,0.0,0.0,Z-score,3.0,0.0,0.0,D'Agostino-Pearson,948501.0267871458,0.0,False,Non-normal distribution,True,spearman,,,
No-show,object,110527,0,0.0,0,2,False,2,False,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7257764162896437,0.9999719291425168,Strong association
