2026-06-16 12:34:42,724 | __main__ | INFO | ================================================================================
2026-06-16 12:34:42,724 | __main__ | INFO | PROFESSIONAL EDA - Dataset: noshow.csv
2026-06-16 12:34:42,724 | __main__ | INFO | Target column: No-show
2026-06-16 12:34:42,724 | __main__ | INFO | ================================================================================
2026-06-16 12:34:42,844 | __main__ | INFO | Successfully loaded noshow.csv
2026-06-16 12:34:42,844 | __main__ | INFO | Shape: (110527, 14)
2026-06-16 12:34:42,844 | __main__ | INFO | Total columns: 14
2026-06-16 12:34:42,844 | __main__ | INFO | Column names: ['PatientId', 'AppointmentID', 'Gender', 'ScheduledDay', 'AppointmentDay', 'Age', 'Neighbourhood', 'Scholarship', 'Hipertension', 'Diabetes', 'Alcoholism', 'Handcap', 'SMS_received', 'No-show']
2026-06-16 12:34:42,844 | __main__ | INFO | Target column 'No-show' present.
2026-06-16 12:34:42,998 | __main__ | INFO | Dataset shape: 110527 rows x 14 columns
2026-06-16 12:34:42,998 | __main__ | INFO | Target distribution: {'No': 88208, 'Yes': 22319}
2026-06-16 12:34:42,998 | __main__ | INFO | Imbalance status: SEVERE imbalance: {'No': 88208, 'Yes': 22319} (ratio 3.95:1)
2026-06-16 12:34:42,998 | __main__ | INFO |   Modeling suggestion: Use stratified sampling for train/test split
2026-06-16 12:34:42,998 | __main__ | INFO |   Modeling suggestion: Consider SMOTE or ADASYN for oversampling minority class
2026-06-16 12:34:42,998 | __main__ | INFO |   Modeling suggestion: Use class weights in models (e.g., 'balanced' in sklearn)
2026-06-16 12:34:42,998 | __main__ | INFO |   Modeling suggestion: Consider evaluation metrics: F1-score, precision-recall AUC (not accuracy)
2026-06-16 12:34:42,998 | __main__ | INFO | ----------------------------------------
2026-06-16 12:34:42,998 | __main__ | INFO | CARDINALITY DETECTION SUMMARY
2026-06-16 12:34:42,998 | __main__ | WARNING | ⚠️ HIGH CARDINALITY columns (3): ['PatientId', 'AppointmentID', 'ScheduledDay']
2026-06-16 12:34:42,998 | __main__ | WARNING |   - PatientId: 62299 unique values
2026-06-16 12:34:42,998 | __main__ | WARNING |   - AppointmentID: 110527 unique values
2026-06-16 12:34:42,998 | __main__ | WARNING |   - ScheduledDay: 103549 unique values
2026-06-16 12:34:42,998 | __main__ | INFO | No missing values detected in any column
2026-06-16 12:34:42,998 | __main__ | INFO | Analyzing column: PatientId
2026-06-16 12:34:43,006 | __main__ | WARNING | Column 'PatientId' has HIGH CARDINALITY: 62299 unique values
2026-06-16 12:34:44,460 | __main__ | INFO | Saved distribution plot: EDA/plots/PatientId_distribution.png
2026-06-16 12:34:44,839 | __main__ | INFO | Saved Q-Q plot: EDA/plots/PatientId_qqplot.png
2026-06-16 12:34:44,839 | __main__ | INFO | Analyzing column: AppointmentID
2026-06-16 12:34:44,843 | __main__ | WARNING | Column 'AppointmentID' has HIGH CARDINALITY: 110527 unique values
2026-06-16 12:34:46,106 | __main__ | INFO | Saved distribution plot: EDA/plots/AppointmentID_distribution.png
2026-06-16 12:34:46,475 | __main__ | INFO | Saved Q-Q plot: EDA/plots/AppointmentID_qqplot.png
2026-06-16 12:34:46,475 | __main__ | INFO | Analyzing column: Gender
2026-06-16 12:34:46,794 | __main__ | INFO | Saved categorical distribution plot: EDA/plots/Gender_categorical.png
2026-06-16 12:34:46,795 | __main__ | INFO | Analyzing column: ScheduledDay
2026-06-16 12:34:46,833 | __main__ | WARNING | Column 'ScheduledDay' has HIGH CARDINALITY: 103549 unique values
2026-06-16 12:34:47,872 | __main__ | WARNING | Categorical column 'ScheduledDay' has high cardinality (103549 values) - consider feature engineering
2026-06-16 12:34:47,900 | __main__ | INFO | Skipping categorical plot for 'ScheduledDay' due to high cardinality (103549 categories)
2026-06-16 12:34:47,900 | __main__ | INFO | Analyzing column: AppointmentDay
2026-06-16 12:34:48,264 | __main__ | INFO | Saved categorical distribution plot: EDA/plots/AppointmentDay_categorical.png
2026-06-16 12:34:48,265 | __main__ | INFO | Analyzing column: Age
2026-06-16 12:34:49,159 | __main__ | INFO | Saved distribution plot: EDA/plots/Age_distribution.png
2026-06-16 12:34:49,531 | __main__ | INFO | Saved Q-Q plot: EDA/plots/Age_qqplot.png
2026-06-16 12:34:49,531 | __main__ | INFO | Analyzing column: Neighbourhood
2026-06-16 12:34:49,592 | __main__ | INFO | Skipping categorical plot for 'Neighbourhood' due to high cardinality (81 categories)
2026-06-16 12:34:49,592 | __main__ | INFO | Analyzing column: Scholarship
2026-06-16 12:34:50,386 | __main__ | INFO | Saved distribution plot: EDA/plots/Scholarship_distribution.png
2026-06-16 12:34:50,757 | __main__ | INFO | Saved Q-Q plot: EDA/plots/Scholarship_qqplot.png
2026-06-16 12:34:50,757 | __main__ | INFO | Analyzing column: Hipertension
2026-06-16 12:34:51,637 | __main__ | INFO | Saved distribution plot: EDA/plots/Hipertension_distribution.png
2026-06-16 12:34:52,001 | __main__ | INFO | Saved Q-Q plot: EDA/plots/Hipertension_qqplot.png
2026-06-16 12:34:52,001 | __main__ | INFO | Analyzing column: Diabetes
2026-06-16 12:34:52,797 | __main__ | INFO | Saved distribution plot: EDA/plots/Diabetes_distribution.png
2026-06-16 12:34:53,169 | __main__ | INFO | Saved Q-Q plot: EDA/plots/Diabetes_qqplot.png
2026-06-16 12:34:53,169 | __main__ | INFO | Analyzing column: Alcoholism
2026-06-16 12:34:54,071 | __main__ | INFO | Saved distribution plot: EDA/plots/Alcoholism_distribution.png
2026-06-16 12:34:54,449 | __main__ | INFO | Saved Q-Q plot: EDA/plots/Alcoholism_qqplot.png
2026-06-16 12:34:54,449 | __main__ | INFO | Analyzing column: Handcap
2026-06-16 12:34:55,406 | __main__ | INFO | Saved distribution plot: EDA/plots/Handcap_distribution.png
2026-06-16 12:34:55,768 | __main__ | INFO | Saved Q-Q plot: EDA/plots/Handcap_qqplot.png
2026-06-16 12:34:55,768 | __main__ | INFO | Analyzing column: SMS_received
2026-06-16 12:34:56,581 | __main__ | INFO | Saved distribution plot: EDA/plots/SMS_received_distribution.png
2026-06-16 12:34:56,952 | __main__ | INFO | Saved Q-Q plot: EDA/plots/SMS_received_qqplot.png
2026-06-16 12:34:56,952 | __main__ | INFO | Analyzing column: No-show
2026-06-16 12:34:57,269 | __main__ | INFO | Saved categorical distribution plot: EDA/plots/No-show_categorical.png
2026-06-16 12:34:57,551 | __main__ | INFO | Saved correlation heatmap: EDA/plots/correlation_heatmap.png
2026-06-16 12:34:57,743 | __main__ | INFO | Saved top correlations plot: EDA/plots/top_correlations_with_target.png
2026-06-16 12:34:57,745 | __main__ | INFO | Saved CSV: EDA/csv/eda_column_summary.csv (14 rows)
2026-06-16 12:34:57,746 | __main__ | INFO | Saved detailed correlations CSV: EDA/csv/detailed_correlations.csv
2026-06-16 12:34:57,747 | __main__ | INFO | Saved statistical recommendations CSV: EDA/csv/statistical_recommendations.csv
2026-06-16 12:34:57,748 | __main__ | INFO | Saved cardinality report CSV: EDA/csv/cardinality_report.csv
2026-06-16 12:34:57,748 | __main__ | WARNING | Found 3 columns with HIGH CARDINALITY: ['AppointmentID', 'ScheduledDay', 'PatientId']
2026-06-16 12:34:57,749 | __main__ | INFO | Saved categorical analysis CSV: EDA/csv/categorical_analysis.csv
2026-06-16 12:34:57,750 | __main__ | INFO | Saved outliers CSV: EDA/csv/outliers_summary.csv
2026-06-16 12:34:57,750 | __main__ | INFO | ----------------------------------------
2026-06-16 12:34:57,750 | __main__ | INFO | KEY FINDINGS SUMMARY
2026-06-16 12:34:57,750 | __main__ | INFO | ----------------------------------------
2026-06-16 12:34:57,750 | __main__ | INFO | Target distribution: {'No': 88208, 'Yes': 22319}
2026-06-16 12:34:57,750 | __main__ | INFO | Imbalance assessment: SEVERE imbalance: {'No': 88208, 'Yes': 22319} (ratio 3.95:1)
2026-06-16 12:34:57,750 | __main__ | INFO | Columns with HIGH cardinality (> 1000): 3
2026-06-16 12:34:57,750 | __main__ | INFO | Statistical method recommendations (9 numeric columns):
2026-06-16 12:34:57,750 | __main__ | INFO |   - Parametric (normal, no outliers): 0 columns
2026-06-16 12:34:57,750 | __main__ | INFO |   - Non-parametric (non-normal or outliers): 9 columns
2026-06-16 12:34:57,750 | __main__ | INFO |   - Robust (mild outliers): 0 columns
2026-06-16 12:34:57,750 | __main__ | INFO | Categorical columns analyzed: 5
2026-06-16 12:34:57,750 | __main__ | INFO |   - Columns with significant association with target: 4
2026-06-16 12:34:57,750 | __main__ | INFO | 
2026-06-16 12:34:57,750 | __main__ | INFO | Correlation analysis includes:
2026-06-16 12:34:57,750 | __main__ | INFO |   - Pearson (parametric, assumes linearity & normality)
2026-06-16 12:34:57,750 | __main__ | INFO |   - Spearman (non-parametric, monotonic relationships)
2026-06-16 12:34:57,750 | __main__ | INFO |   - Kendall (non-parametric, robust for ties/small samples)
2026-06-16 12:34:57,750 | __main__ | INFO | 
2026-06-16 12:34:57,750 | __main__ | INFO | For non-normal data or when outliers present, prefer Spearman or Kendall.
2026-06-16 12:34:57,750 | __main__ | INFO | ================================================================================
2026-06-16 12:34:57,750 | __main__ | INFO | EDA COMPLETED SUCCESSFULLY
2026-06-16 12:34:57,750 | __main__ | INFO | Results saved in: EDA
2026-06-16 12:34:57,750 | __main__ | INFO |   - CSV summaries: csv/
2026-06-16 12:34:57,750 | __main__ | INFO |     * eda_column_summary.csv - Complete stats per column
2026-06-16 12:34:57,750 | __main__ | INFO |     * detailed_correlations.csv - Pearson, Spearman, Kendall correlations
2026-06-16 12:34:57,750 | __main__ | INFO |     * statistical_recommendations.csv - Which methods to trust
2026-06-16 12:34:57,750 | __main__ | INFO |     * outliers_summary.csv - Outlier detection results
2026-06-16 12:34:57,750 | __main__ | INFO |     * cardinality_report.csv - Cardinality analysis per column
2026-06-16 12:34:57,751 | __main__ | INFO |     * categorical_analysis.csv - Chi-square, Cramér's V, entropy
2026-06-16 12:34:57,751 | __main__ | INFO |   - Plots: plots/
2026-06-16 12:34:57,751 | __main__ | INFO |   - Logs: logs/
2026-06-16 12:34:57,751 | __main__ | INFO | ================================================================================
